Study_Hours,Attendance,Previous_Marks,Assignment_Score,Project_Score,Result
2,60,45,50,48,FAIL
3,65,50,55,52,FAIL
4,70,55,60,58,FAIL
5,75,62,65,63,PASS
6,85,72,80,78,PASS
7,90,80,85,84,PASS
8,95,88,92,90,PASS
3,68,52,58,55,FAIL
5,78,65,70,68,PASS
6,88,76,82,80,PASS
4,72,58,62,60,FAIL
7,91,84,88,86,PASS
8,96,91,94,93,PASS
2,55,40,45,42,FAIL
5,80,68,75,72,PASS
6,86,74,79,77,PASS
9,98,95,96,94,PASS
4,73,57,63,61,PASS
7,89,82,86,84,PASS
8,94,89,91,89,PASS
3,67,49,54,51,FAIL
5,76,63,68,66,PASS
6,84,71,77,74,PASS
7,92,86,90,88,PASS
9,97,94,95,94,PASS
2,58,42,48,45,FAIL
4,71,54,59,57,FAIL
6,87,78,83,81,PASS
8,93,90,92,91,PASS
5,79,67,72,70,PASS
7,90,81,87,85,PASS
3,64,48,51,49,FAIL
9,99,96,98,97,PASS
6,85,73,78,75,PASS
4,74,59,64,62,PASS
8,96,92,94,92,PASS
5,81,70,73,71,PASS
7,88,85,89,87,PASS
2,52,38,42,40,FAIL
6,83,69,76,74,PASS
9,98,97,97,96,PASS
4,69,56,61,59,FAIL
8,94,88,90,89,PASS
5,77,64,69,67,PASS
7,91,83,88,86,PASS
3,63,47,53,50,FAIL
6,86,75,81,79,PASS
8,95,93,95,93,PASS
4,70,61,66,64,PASS
9,99,98,99,98,PASS
